chapter_no,chapter_name,section_no,section_name,excerise,problem_no,question
,,,,,14EB,"Let n be a positive integer. A random sample of four elements is taken from the set  0, 1, 2,...,n , one at a time and with replacement. What is the probability that the sum of the first two elements is equal to the sum of the last two elements?"
,,,,,15EB,"For a given position with n applicants, m applicants are equally qualified and n?m applicants are not qualified at all. Assume that a recruitment process is considered to be fair if the probability that a qualified applicant is hired is 1/m, and the probability that an unqualified applicant is hired is 0. One fair recruitment process is to interview all applicants, identify the qualified ones, and then hire one of the m qualified applicants randomly. A second fair process, which is more efficient, is to interview applicants in a random order and employ the first qualified applicant encountered. For the fairness of the second recruitment process, (a) present an intuitive argument; (b) give a rigorous combinatorial proof."
,,,,,16EB,"In how many ways can 10 different photographs be placed in six different envelopes, no envelope remaining empty? Hint: An easy way to do this problem is to use the following version of the inclusion-exclusion principle: Let A1, A2,...,An be n subsets of a finite set ? with N elements. Let N(Ai) be the number of elements of Ai, 1 ? i ? n, and N(Ac i) = N ? N(Ai). Let Sk be the sum of the elements of all those intersections of A1, A2,...,An that are formed of exactly k sets. That is, S1 = N(A1) + N(A2) + ··· + N(An), S2 = N(A1A2) + N(A1A3) + ··· + N(An?1An), and so on. Then N(Ac 1Ac 2 ···Ac n) = N ? S1 + S2 ? S3 + ··· + (?1)nSn. To solve the problem, let N be the number of ways that 10 different photographs can be placed in six different envelopes, allowing for the possibility of empty envelopes. Let Ai be the set of all situations in which envelope i is empty. Then the desired quantity is N(Ac 1Ac 2 ···Ac 6)."
,,,,,17EB,"We are given n (n > 5) points in space, no three of which lie on the same straight line. Let ? be the family of planes defined by any three of these points. Suppose that the points are situated in a way that no four of them are coplanar, and no two planes of ? are parallel. From the set of the lines of the intersections of the planes of ?, a
line is selected at random. What is the probability that it passes through none of the
n points?
Hint: For i = 0, 1, 2, let Ai be the set of all lines of the intersections that are
determined by planes having i of the given n points in common. If |Ai| denotes the
number of elements of Ai, the answer is |A0|/
 
|A0| + |A1| + |A2|"
,,,,,18EB,"Using the binomial theorem, calculate the coefficient of xn in the expansion of (1 + x)2n = (1 + x)n(1 + x)n to prove that 2n n  = n i=0 n i 2 . For a combinatorial proof of this relation, see Example 2.28."
,,,,,19EB,"An absentminded professor wrote n letters and sealed them in envelopes without writing the addresses on them. Then he wrote the n addresses on the envelopes at random. What is the probability that exactly k of the envelopes were addressed correctly? Hint: Consider a particular set of k letters. Let M be the total number of ways that only these k letters can be addressed correctly. The desired probability is the quantity n k  M/n!; using Example 2.24, argue that M satisfies n?k i=2 (?1)i /i! = M/(n ? k)!."
,,,,,20EB,"A fair coin is tossed n times. Calculate the probability of getting no successive heads. Hint: Let xi be the number of sequences of H’s and T’s of length i with no successive H’s. Show that xi satisfies xi = xi?1 + xi?2, i ? 2, where x0 = 1 and x1 = 2. The answer is xn/2n. Note that {xi}? i=1 is a Fibonacci-type sequence"
,,,,,21EB,What is the probability that the birthdays of at least two students of a class of size n are at most k days apart? Assume that the birthrates are constants throughout the year and that each year has 365 days.
,,2.5,Stirling’s Formula,Review Problems,1RP,Use Stirling’s formula to approximate  2n n  1 22n and (2n)!3 (4n)! (n!)2 for large n.
,,,,,2RP,"Albert goes to the grocery store to buy fruit. There are seven different varieties of fruit, and Albert is determined to buy no more than one of any variety. How many different orders can he place?"
,,,,,3RP,"Virginia has 1 one-dollar bill, 1 two-dollar bill, 1 five-dollar bill, 1 ten-dollar bill, and 1 twenty-dollar bill. She decides to give some money to her son Brian without asking for change. How many choices does she have?"
,,,,,4RP,"If four fair dice are tossed, what is the probability that they will show four different faces?"
,,,,,5RP,"From the 10 points that are placed on a circumference, two are selected randomly. What is the probability that they are adjacent?"
,,,,,6RP,A father buys nine different toys for his four children. In how many ways can he give one child three toys and the remaining three children two toys each?
,,,,,7RP,A window dresser has decided to display five different dresses in a circular arrangement. How many choices does she have?
,,,,,8RP,"Judy has three sets of classics in literature, each set having four volumes. In how many ways can she put them on a bookshelf so that books of each set are not separated?"
,,,,,9RP,"Suppose that 30 lawn mowers, of which seven have defects, are sold to a hardware store. If the store manager inspects six of the lawn mowers randomly, what is the probability that he finds at least one defective lawn mower?"
,,,,,10RP,"In how many ways can 23 identical refrigerators be allocated among four stores so that one store gets eight refrigerators, another four, a third store five, and the last one six refrigerators?"
,,,,,11RP,In how many arrangements of the letters BERKELEY are all three E’s adjacent?
,,,,,12RP,Bill and John play in a backgammon tournament. A player is the winner if he wins three games in a row or four games altogether. In what percent of all possible cases does the tournament end because John wins four games without winning three in a row?
,,,,,13RP,"In a small town, both of the accidents that occurred during the week of June 8, 1988, were on Friday the 13th. Is this a good excuse for a superstitious person to argue that Friday the 13th’s are inauspicious?"
,,,,,14RP,How many eight-digit numbers without two identical successive digits are there?
,,,,,15RP,"A palindrome is a sequence of characters that reads the same forward or backward. For example, rotator, madam, Hannah, the German name Otto, and an Indian language, Malayalam, are palindromes. So are the following expressions: “Put up,” “Madam I’m Adam,” “Was it a cat I saw?” and these two sentences in Latin concerning St. Martin, Bishop of Tours: “Signa te, signa; temere me tangis et angis.
Roma tibi subito motibus ibit amor.” (Respectively: Cross, cross yourself; you annoy and vex me needlessly. Through my exertions, Rome, your desire, will soon
be near.) Determine the number of palindromes containing 11 characters that can
be made with (a) no letters repeating more than twice; (b) one letter repeating three
times and no other letter more than twice (the chemical term detartrated is one such
palindrome); (c) one letter repeating three times, two each repeating two times, and
one repeating four times.
Historical Remark: It is said that the palindrome was invented by a Greek poet
named Sotades in the third Century B.C. It is also said that Sotades was drowned by
order of a king of the Macedonian dynasty, the reigning Ptolemy, who found him a
real bore."
,,,,,16RP,"By mistake, a student who is running a computer program enters with negative signs two of the six positive numbers and with positive signs two of the four negative numbers. If at some stage the program chooses three distinct numbers from these 10 at random and multiplies them, what is the probability that at that stage no mistake will occur?"
,,,,,17RP,Suppose that four women and two men enter a restaurant and sit at random around a table that has four chairs on one side and another four on the other side. What is the probability that the men are not all sitting on one side?
,,,,,18RP,"Cyrus and 27 other students are taking a course in probability this semester. If their professor chooses eight students at random and with replacement to ask them eight different questions, what is the probability that one of them is Cyrus?"
,,,,,19RP,"If five Americans, five Italians, and five Mexicans sit randomly at a round table, what is the probability that the persons of the same nationality sit together?"
,,,,,20RP,"The chairperson of the industry-academic partnership of a town invites all 12 members of the board and their spouses to his house for a Christmas party. If a board member may attend without his spouse, but not vice versa, how many different groups can the chairperson get?"
,,,,,21RP,"In a bridge game, each of the four players gets 13 random cards. What is the probability that every player has an ace?"
,,,,,22RP,"From a faculty of six professors, six associate professors, ten assistant professors, and twelve instructors, a committee of size six is formed randomly. What is the probability that there is at least one person from each rank on the committee? Hint: Be careful, the answer is not 6 1 6 1 10 1 12 1 30 2  34 6  = 1.397. To find the correct answer, use the inclusion-exclusion principle explained in Section 1.4"
,,,,,23RP,An urn contains 15 white and 15 black balls. Suppose that 15 persons each draw two balls blindfolded from the urn without replacement. What is the probability that each of them draws one white ball and one black ball?
,,,,,24RP,In a lottery the tickets are numbered 1 through N. A person purchases n (1 ? n ? N) tickets at random. What is the probability that the ticket numbers are consecutive? (This is a special case of a problem posed by Euler in 1763.)
,,,,,25RP,"An ordinary deck of 52 cards is dealt, 13 each, at random among A, B, C, and D. What is the probability that (a) A and B together get two aces; (b) A gets all the face cards; (c) A gets five hearts and B gets the remaining eight hearts?"
,,,,,26RP,"To test if a computer program works properly, we run it with 12 different data sets, using four computers, each running three data sets. If the data sets are distributed randomly among different computers, how many possibilities are there?"
,,,,,27RP,A fair die is tossed eight times. What is the probability that the eighth outcome is not a repetition?
,,,,,28RP,"A four-digit number is selected at random. What is the probability that its ones place is greater than its tens place, its tens place is greater than its hundreds place, and its hundreds place is greater than its thousands place? Note that the first digit of an n-digit number is nonzero"
,,,,,29RP,"From the set of integers  1, 2, 3,..., 100000 a number is selected at random. What is the probability that the sum of its digits is 8? Hint: Establish a one-to-one correspondence between the set of integers from {1, 2,..., 100000} the sum of whose digits is 8, and the set of possible ways 8 identical objects can be placed into 5 distinguishable cells. Then use Example 2.22."
3,Conditional Probability and Independence,3.1,Conditional Probability,Exercise A,1EA,"Suppose that 15% of the population of a country are unemployed women, and a total of 25% are unemployed. What percent of the unemployed are women?"
,,,,,2EA,"Suppose that 41% of Americans have blood type A, and 4% have blood type AB. If in the blood of a randomly selected American soldier the A antigen is found, what is the probability that his blood type is A? The A antigen is found only in blood types A and AB."
,,,,,3EA,"In a technical college all students are required to take calculus and physics. Statistics show that 32% of the students of this college get A’s in calculus, and 20% of them get A’s in both calculus and physics. Gino, a randomly selected student of this college, has passed calculus with an A. What is the probability that he got an A in physics?"
,,,,,4EA,Suppose that two fair dice have been tossed and the total of their top faces is found to be divisible by 5. What is the probability that both of them have landed 5?
,,,,,5EA,"A bus arrives at a station every day at a random time between 1:00 P.M. and 1:30 P.M. A person arrives at this station at 1:00 and waits for the bus. If at 1:15 the bus has not yet arrived, what is the probability that the person will have to wait at least an additional 5 minutes?"
,,,,,6EA,"Prove that P(A | B) > P(A) if and only if P(B | A) > P(B). In probability, if for two events A and B, P(A | B) > P(A), we say that A and B are positively correlated. If P(A | B) < P(A), A and B are said to be negatively correlated."
,,,,,7EA,"A spinner is mounted on a wheel of unit circumference (radius 1/2?). Arcs A, B, and C of lengths 1/3, 1/2, and 1/6, respectively, are marked off on the wheel’s perimeter (see Figure 3.1). The spinner is flicked and we know that it is not pointing toward C. What is the probability that it points toward A?"
,,,,,8EA,"In throwing two fair dice, what is the probability of a sum of 5 if they land on different numbers?"
,,,,,9EA,"In a small lake, it is estimated that there are approximately 105 fish, of which 40 are trout and 65 are carp. A fisherman caught eight fish; what is the probability that exactly two of them are trout if we know that at least three of them are not?"
,,,,,10EA,"From 100 cards numbered 00, 01,..., 99, one card is drawn. Suppose that ? and ? are the sum and the product, respectively, of the digits of the card selected. Calculate P {? = i | ? = 0}  , i = 0, 1, 2, 3,..., 18."
,,,,,11EA,"From families with three children, a family is selected at random and found to have a boy. What is the probability that the boy has (a) an older brother and a younger sister; (b) an older brother; (c) a brother and a sister? Assume that in a three-child family all gender distributions have equal probabilities."
,,,,,12EA,"Show that if P(A)=1, then P(B | A) = P(B)."
,,,,,13EA,"Prove that if P(A) = a and P(B) = b, then P(A | B) ? (a + b ? 1)/b."
,,,,,14EA,Prove Theorem 3.1.
,,,,,15EA,"Prove that if P(E | F) ? P(G | F) and P(E | Fc) ? P(G | Fc), then P(E) ? P(G)."
,,,,,16EA,"The theaters of a town are showing seven comedies and nine dramas. Marlon has seen five of the movies. If the first three movies he has seen are dramas, what is the probability that the last two are comedies? Assume that Marlon chooses the shows at random and sees each movie at most once."
,,,,,17EA,"Suppose that 28 crayons, of which four are red, are divided randomly among Jack, Marty, Sharon, and Martha (seven each). If Sharon has exactly one red crayon, what is the probability that Marty has the remaining three?"
,,,,Exercise B,1EB,"A number is selected at random from the set {1, 2,..., 10,000} and is observed to be odd. What is the probability that it is (a) divisible by 3; (b) divisible by neither 3 nor 5?"
,,,,,2EB,"A retired person chooses randomly one of the six parks of his town everyday and goes there for hiking. We are told that he was seen in one of these parks, Oregon Ridge, once during the last 10 days. What is the probability that during this period he has hiked in this park two or more times?"
,,,,,3EB,"A big urn contains 1000 red chips, numbered 1 through 1000, and 1750 blue chips, numbered 1 through 1750. A chip is removed at random, and its number is found to be divisible by 3. What is the probability that its number is also divisible by 5?"
,,,,,4EB,"There are three types of animals in a laboratory: 15 type I, 13 type II, and 12 type III. Animals of type I react to a particular stimulus in 5 seconds, animals of types II and III react to the same stimulus in 4.5 and 6.2 seconds, respectively. A psychologist selects 10 of these animals at random and finds that exactly four of them react to this stimulus in 6.2 seconds. What is the probability that at least two of them react to the same stimulus in 4.5 seconds?"
,,,,,5EB,"In an international school, 60 students, of whom 15 are Korean, 20 are French, eight are Greek, and the rest are Chinese, are divided randomly into four classes of 15 each. If there are a total of eight French and six Korean students in classes A and B, what is the probability that class C has four of the remaining 12 French and three of the remaining nine Korean students?"
,,,,,6EB,"From the set of all families with two children, a family is selected at random and is found to have a girl called Mary. We want to know the probability that both children of the family are girls. By Example 3.2, the probability should apparently be 1/3 because presumably knowing the name of the girl should not make a difference. However, if we ask a friend of that family whether Mary is the older or the younger child of the family, upon receiving the answer, we can conclude that the probability of the other child being a girl is 1/2. Therefore, there is no need to ask the friend, and we conclude already that the probability is 1/2! What is the flaw in this argument? Explain"
,,3.2,Law of Multiplication,Exercise A,1EA,"In a trial, the judge is 65% sure that Susan has committed a crime. Robert is a witness who knows whether Susan is innocent or guilty. However, Robert is Susan’s friend and will lie with probability 0.25 if Susan is guilty. He will tell the truth if she is innocent. What is the probability that Robert will commit perjury?"
,,,,,2EA,"There are 14 marketing firms hiring new graduates. Kate randomly found the recruitment ads of six of these firms and sent them her resume. If three of these marketing firms are in Maryland, what is the probability that Kate did not apply to a marketing firm in Maryland?"
,,,,,3EA,"In a game of cards, two cards of the same color and denomination form a pair. For example, 8 of hearts and 8 of diamonds is one pair, king of spades and king of clubs is another. If six cards are selected at random and without replacement, what is the probability that there will be no pairs?"
,,,,,4EA,"If eight defective and 12 nondefective items are inspected one by one, at random and without replacement, what is the probability that (a) the first four items inspected are defective; (b) from the first three items at least two are defective?"
,,,,,5EA,"There are five boys and six girls in a class. For an oral exam, their teacher calls them one by one and randomly. (a) What is the probability that the boys and the girls alternate? (b) What is the probability that the boys are called first? Compare the answers to parts (a) and (b)."
,,,,,6EA,"An urn contains five white and three red chips. Each time we draw a chip, we look at its color. If it is red, we replace it along with two new red chips, and if it is white, we replace it along with three new white chips. What is the probability that, in successive drawing of chips, the colors of the first four chips alternate?"
,,,,,7EA,"Solve the following problem, asked of Marilyn Vos Savant in the “Ask Marilyn” column of Parade Magazine,January 3, 1999. You’re at a party with 199 other guests when robbers break in and announce that they are going to rob one of you. They put 199 blank pieces of paper in a hat, plus one marked “you lose.” Each guest must draw, and the person who draws “you lose” will get robbed. The robbers offer you the option of drawing first, last, or at any time in between. When would you take your turn? Assume that those who draw earlier will not announce whether they drew the “you lose” paper"
,,,,,8EA,"Suppose that 75% of all people with credit records improve their credit ratings within three years. Suppose that 18% of the population at large have poor credit records, and of those only 30% will improve their credit ratings within three years. What
percentage of the people who will improve their credit records within the next three
years are the ones who currently have good credit ratings?"
,,,,Exercise B,1EB,"Cards are drawn at random from an ordinary deck of 52, one by one and without replacement. What is the probability that no heart is drawn before the ace of spades is drawn?"
,,,,,2EB,"From an ordinary deck of 52 cards, cards are drawn one by one, at random and without replacement. What is the probability that the fourth heart is drawn on the tenth draw? Hint: Let F denote the event that in the first nine draws there are exactly three hearts, and E be the event that the tenth draw is a heart. Use P(F E) = P(F)P(E | F)."
,,,,,3EB,"In a series of games, the winning number of the nth game, n = 1, 2, 3,..., is a number selected at random from the set of integers {1, 2,...,n + 2}. Don bets on 1 in each game and says that he will quit as soon as he wins. What is the probability that he has to play indefinitely? Hint: Let An be the event that Don loses the first n games. To calculate the desired probability, P ? i=1 Ai  , use Theorem 1.8."
,,3.3,Law of Total Probability,Exercise A,12EA,"If 5% of men and 0.25% of women are color blind, what is the probability that a randomly selected person is color blind?"
,,,,,13EA,"Suppose that 40% of the students of a campus are women. If 20% of the women and 16% of the men of this campus are A students, what percent of all of them are A students?"
,,,,,14EA,"Jim has three cars of different models: A, B, and C. The probabilities that models A, B, and C use over 3 gallons of gasoline from Jim’s house to his work are 0.25, 0.32, and 0.53, respectively. On a certain day, all three of Jim’s cars have 3 gallons of gasoline each. Jim chooses one of his cars at random, and without paying attention to the amount of gasoline in the car drives it toward his office. What is the probability that he makes it to the office?"
,,,,,15EA,One of the cards of an ordinary deck of 52 cards is lost. What is the probability that a random card drawn from this deck is a spade?
,,,,,16EA,Two cards from an ordinary deck of 52 cards are missing. What is the probability that a random card drawn from this deck is a spade?
,,,,,17EA,"Of the patients in a hospital, 20% of those with, and 35% of those without myocardial infarction have had strokes. If 40% of the patients have had myocardial infarction, what percent of the patients have had strokes?"
,,,,,18EA,"Suppose that 37% of a community are at least 45 years old. If 80% of the time a person who is 45 or older tells the truth, and 65% of the time a person below 45 tells the truth, what is the probability that a randomly selected person answers a question truthfully?"
,,,,,19EA,"A person has six guns. The probability of hitting a target when these guns are properly aimed and fired is 0.6, 0.5, 0.7, 0.9, 0.7, and 0.8, respectively. What is the probability of hitting a target if a gun is selected at random, properly aimed, and fired?"
,,,,,20EA,"A factory produces its entire output with three machines. Machines I, II, and III produce 50%, 30%, and 20% of the output, but 4%, 2%, and 4% of their outputs are defective, respectively. What fraction of the total output is defective?"
,,,,,21EA,"Solve the following problem, from the “Ask Marilyn” column of Parade Magazine, October 29, 2000. I recently returned from a trip to China, where the government is so concerned about population growth that it has instituted strict laws about family size. In the cities, a couple is permitted to have only one child. In the countryside, where sons traditionally have been valued, if the first child is a son, the couple may have no more children. But if the first child is a daughter, the couple may have another child. Regardless of the sex of the second child, no more are permitted. How will this policy affect the mix of males and females? To pose the question mathematically, what is the probability that a randomly selected child from the countryside is a boy?"
,,,,,22EA,"Suppose that five coins, of which exactly three are gold, are distributed among five persons, one each, at random, and one by one. Are the chances of getting a gold coin equal for all participants? Why or why not?"
,,,,,23EA,"In a town, 7/9th of the men and 3/5th of the women are married. In that town, what fraction of the adults are married? Assume that all married adults are the residents of the town"
,,,,,24EA,"A child gets lost in the Disneyland at the Epcot Center in Florida. The father of the child believes that the probability of his being lost in the east wing of the center is 0.75 and in the west wing is 0.25. The security department sends an officer to the east and an officer to the west to look for the child. If the probability that a security officer who is looking in the correct wing finds the child is 0.4, find the probability that the child is found."
,,,,,25EA,"Suppose that there exist N families on the earth and that the maximum number of children a family has is c. Let ?j 0 ? j ? c, c j=0 ?j = 1 be the fraction of families with j children. Find the fraction of all children in the world who are the kth born of their families (k = 1, 2,...,c)."
,,,,,26EA,"Let B be an event of a sample space S with P(B) > 0. For a subset A of S, define Q(A) = P(A | B). By Theorem 3.1 we know that Q is a probability function. For E and F, events of S  P(F B) > 0 , show that Q(E | F) = P(E | F B)."
,,,,Exercise B,1EB,"Suppose that 40% of the students on a campus, who are married to students on the same campus, are female. Moreover, suppose that 30% of those who are married, but not to students at this campus, are also female. If one-third of the married students on this campus are married to other students on this campus, what is the probability that a randomly selected married student from this campus is a woman? Hint: Let M, C, and F denote the events that the random student is married,
is married to a student on the same campus, and is female. For any event A, let
Q(A) = P(A | M). Then, by Theorem 3.1, Q satisfies the same axioms that
probabilities satisfy. Applying Theorem 3.3 to Q and, using the result of Exercise 15,
we obtain
P(F | M) = P(F | MC)P(C | M) + P(F | MCc
)P(Cc | M)."
,,,,,2EB,"Suppose that the probability that a new seed planted in a specific farm germinates is equal to the proportion of all planted seeds that germinated in that farm previously. Suppose that the first seed planted in the farm germinated, but the second seed planted did not germinate. For positive integers n and k (k"
,,,,,3EB,"Suppose that 10 good and three dead batteries are mixed up. Jack tests them one by one, at random and without replacement. But before testing the fifth battery he realizes that he does not remember whether the first one tested is good or is dead. All he remembers is that the last three that were tested were all good. What is the probability that the first one is also good?"
,,,,,4EB,"A box contains 18 tennis balls, of which eight are new. Suppose that three balls are selected randomly, played with, and after play are returned to the box. If another three balls are selected for play a second time, what is the probability that they are all new?"
,,,,,5EB,"From families with three children, a child is selected at random and found to be a girl. What is the probability that she has an older sister? Assume that in a three-child family all sex distributions are equally probable. Hint: Let G be the event that the randomly selected child is a girl, A be the event that she has an older sister, and O, M, and Y be the events that she is the oldest, the middle, and the youngest child of the family, respectively. For any subset B of the sample space let Q(B) = P(B | G); then apply Theorem 3.3 to Q. (See also Exercises 15 and 16.)"
,,,,,6EB,"Suppose that three numbers are selected one by one, at random and without replacement from the set of numbers {1, 2, 3,...,n}. What is the probability that the third number falls between the first two if the first number is smaller than the second?"
,,,,,7EB,"Avril has certain standards for selecting her future husband. She has n suitors and knows how to compare any two and rank them. She decides to date one suitor at a time randomly. When she knows a suitor well enough, she can marry or reject him. If she marries the suitor, she can never know the ones not dated. If she rejects the suitor, she will not be able to reconsider him. In this process, Avril will not choose a suitor she ranks lower than at least one of the previous ones dated. Avril’s goal is to maximize the probability of selecting the best suitor. To achieve this, she adopts the following strategy: For some m, 0 ? m the value of m which maximizes the probability of selecting the best suitor.
Remark: This exercise is a model for many real-world problems in which we have
to reject “choices” or “offers” until the one we think is the “best.” Note that it is quite
possible that we reject the best “offer” or “choice” in the process. If this happens,
we will not be able to make a selection."
,,,,,8EB,"(Shrewd Prisoner’s Dilemma) Because of a prisoner’s constant supplication, the king grants him this favor: He is given 2N balls, which differ from each other only in that half of them are green and half are red. The king instructs the prisoner to divide the balls between two identical urns. One of the urns will then be selected at random, and the prisoner will be asked to choose a ball at random from the urn chosen. If the ball turns out to be green, the prisoner will be freed. How should he distribute the balls in the urn to maximize his chances of freedom? Hint: Let g be the number of green balls and r be the number of red balls in the first urn. The corresponding numbers in the second urn are N ? g and N ? r. The probability that a green ball is drawn is f(g, r): f(g, r) = 1 2  g g + r + N ? g 2N ? g ? r  . Find the maximum of this function of two variables (r and g). Note that the maximum need not occur at an interior point of the domain."
,,3.4,Bayes’ Formula,Exercise A,1EA,"In transmitting dot and dash signals, a communication system changes 1/4 of the dots to dashes and 1/3 of the dashes to dots. If 40% of the signals transmitted are dots and 60% are dashes, what is the probability that a dot received was actually a transmitted dot?"
,,,,,2EA,"On a multiple-choice exam with four choices for each question, a student either knows the answer to a question or marks it at random. If the probability that he or she knows the answers is 2/3, what is the probability that an answer that was marked correctly was not marked randomly?"
,,,,,3EA,"A judge is 65% sure that a suspect has committed a crime. During the course of the trial, a witness convinces the judge that there is an 85% chance that the criminal is left-handed. If 23% of the population is left-handed and the suspect is also lefthanded, with this new information, how certain should the judge be of the guilt of the suspect?"
,,,,,4EA,"In a trial, the judge is 65% sure that Susan has committed a crime. Julie and Robert are two witnesses who know whether Susan is innocent or guilty. However, Robert is Susan’s friend and will lie with probability 0.25 if Susan is guilty. He will tell the truth if she is innocent. Julie is Susan’s enemy and will lie with probability 0.30 if Susan is innocent. She will tell the truth if Susan is guilty. What is the probability that Susan is guilty if Robert and Julie give conflicting testimony?"
,,,,,5EA,"Suppose that 5% of the men and 2% of the women working for a corporation make over $120,000 a year. If 30% of the employees of the corporation are women, what percent of those who make over $120,000 a year are women?"
,,,,,6EA,"A stack of cards consists of six red and five blue cards. A second stack of cards consists of nine red cards. A stack is selected at random and three of its cards are drawn. If all of them are red, what is the probability that the first stack was selected?"
,,,,,7EA,"A certain cancer is found in one person in 5000. If a person does have the disease, in 92% of the cases the diagnostic procedure will show that he or she actually has it. If a person does not have the disease, the diagnostic procedure in one out of 500 cases gives a false positive result. Determine the probability that a person with a positive test result has the cancer."
,,,,,8EA,"Urns I, II, and III contain three pennies and four dimes, two pennies and five dimes, three pennies and one dime, respectively. One coin is selected at random from each urn. If two of the three coins are dimes, what is the probability that the coin selected from urn I is a dime?"
,,,,,9EA,"In a study it was discovered that 25% of the paintings of a certain gallery are not original. A collector in 15% of the cases makes a mistake in judging if a painting is authentic or a copy. If she buys a piece thinking that it is original, what is the probability that it is not?"
,,,,,10EA,"There are three identical cards that differ only in color. Both sides of one are black, both sides of the second one are red, and one side of the third card is black and its other side is red. These cards are mixed up and one of them is selected at random. If the upper side of this card is red, what is the probability that its other side is black?"
,,,,,11EA,"With probability of 1/6 there are i defective fuses among 1000 fuses (i = 0, 1, 2, 3, 4, 5). If among 100 fuses selected at random, none was defective, what is the probability of no defective fuses at all?"
,,,,,12EA,"Solve the following problem, asked of Marilyn Vos Savant in the “Ask Marilyn” column of Parade Magazine, February 18, 1996. Say I have a wallet that contains either a $2 bill or a $20 bill (with equal likelihood), but I don’t know which one. I add a $2 bill. Later, I reach into my wallet (without looking) and remove a bill. It’s a $2 bill. There’s one bill remaining in the wallet. What are the chances that it’s a $2 bill?"
,,,,Exercise B,1EB,"There are two stables on a farm, one that houses 20 horses and 13 mules, the other with 25 horses and eight mules. Without any pattern, animals occasionally leave their stables and then return to their stables. Suppose that during a period when all the animals are in their stables, a horse comes out of a stable and then returns. What is the probability that the next animal coming out of the same stable will also be a horse?"
,,,,,2EB,"An urn contains five red and three blue chips. Suppose that four of these chips are selected at random and transferred to a second urn, which was originally empty. If a random chip from this second urn is blue, what is the probability that two red and two blue chips were transferred from the first urn to the second urn?"
,,,,,3EB,"The advantage of a certain blood test is that 90% of the time it is positive for patients having a certain disease. Its disadvantage is that 25% of the time it is also positive in healthy people. In a certain location 30% of the people have the disease, and anybody with a positive blood test is given a drug that cures the disease. If 20% of the time the drug produces a characteristic rash, what is the probability that a person from this location who has the rash had the disease in the first place?"
,,3.5,Independence,Exercise A,1EA,"Jean le Rond d’Alembert, a French mathematician, believed that in successive flips of a fair coin, after a long run of heads, a tail is more likely. Do you agree with d’Alembert on this? Explain"
,,,,,2EA,Clark and Anthony are two old friends. Let A be the event that Clark will attend Anthony’s funeral. Let B be the event that Anthony will attend Clark’s funeral. Are A and B independent? Why or why not?
,,,,,3EA,"In a certain country, the probability that a fighter plane returns from a mission without mishap is 49/50, independent of other missions. In a conversation, Mia concluded that any pilot who flew 49 consecutive missions without mishap should be returned home before the fiftieth mission. But, on considering the matter, Jim concluded that the probability of a randomly selected pilot being able to fly 49 consecutive missions safely is (49/50)49 = 0.3716017. In other words, the odds are almost two to one against an ordinary pilot performing the feat that this pilot has already performed. Hence the pilot would seem to be more skillful than most and thus has a better chance of surviving the 50th mission. Who is right, Mia, Jim, or neither of them? Explain."
,,,,,4EA,"A fair die is rolled twice. Let A denote the event that the sum of the outcomes is odd, and B denote the event that it lands 2 on the first toss. Are A and B independent? Why or why not?"
,,,,,5EA,An urn has three red and five blue balls. Suppose that eight balls are selected at random and with replacement. What is the probability that the first three are red and the rest are blue balls?
,,,,,6EA,"Suppose that two points are selected at random and independently from the interval (0, 1). What is the probability that the first one is less than 3/4, and the second one is greater than 1/4?"
,,,,,7EA,"According to a recent mortality table, the probability that a 35-year-old U.S. citizen will live to age 65 is 0.725. (a) What is the probability that John and Jim, two 35-year-old Americans who are not relatives, both live to age 65? (b) What is the probability that neither John nor Jim lives to that age?"
,,,,,8EA,"The Italian mathematician Giorlamo Cardano once wrote that if the odds in favor of an event are 3 to 1, then the odds in favor of the occurrence of that event in two consecutive independent experiments are 9 to 1. (He squared 3 and 1 to obtain 9 to 1.) Was Cardano correct?"
,,,,,9EA,"Consider the four “unfolded” dice in Figure 3.9 designed by Stanford professor Bradley Effron. Clearly, none of these dice is an ordinary die with sides numbered 1 through 6. A game consists of two players each choosing one of these four dice and rolling it. The player rolling a larger number is the winner. Show that if all four dice are fair, it is twice as likely for die A to beat die B, twice as likely for die B to beat die C, twice as likely for die C to beat D, and surprisingly, it is twice as likely for die D to beat die A."
,,,,,10EA,"(Chevalier de Mer´ e’s Paradox ´ †) In the seventeenth century in France there were two popular games, one to obtain at least one 6 in four throws of a fair die and the other to bet on at least one double 6 in 24 throws of two fair dice. French nobleman and mathematician Chevalier de M´er´e argued that the probabilities of a 6 in one throw of a fair die and a double 6 in one throw of two fair dice are 1/6 and 1/36, respectively. Therefore, the probability of at least one 6 in four throws of a fair die and at least one double 6 in 24 throws of two fair dice are 4 × 1/6=2/3
and 24 × 1/36 = 2/3, respectively. However, even then experience had convinced
gamblers that the probability of winning the first game was higher than winning
the second game, a contradiction. Explain why de M´er´e’s argument is false, and
calculate the correct probabilities of winning in these two games."
,,,,,11EA,"In data communications, a message transmitted from one end is subject to various sources of distortion and may be received erroneously at the other end. Suppose that a message of 64 bits (a bit is the smallest unit of information and is either 1 or 0) is transmitted through a medium. If each bit is received incorrectly with probability 0.0001 independently of the other bits, what is the probability that the message received is free of error?"
,,,,,12EA,Find an example in which P(AB) < P(A)P(B).
